Sl. No.,State,Facility No.,Facility Name/ Licensee,NJEMS PI/ Dep No./ID,Waste Type,Phone,Location,Municipality,City,Pincode,Owner/ Owner Type,Hours,Features,Latitude,Longitude,,,,,,,,,,,,,,,
,,20,BRUNSWICK PUBLIC WORKS,S-008458-WK- R-N,<Plastic & Other>,(207) 725-6654,9 INDUSTRY RD BRUNSWICK,,BRUNSWICK,4011,,,,43.8973,-69.9779,,,,,,,,,,,,,,,
,,21,VILLAGE GREEN ME LLC & VILLAGE GREEN BRUNSWICK LA,S-022403-WK- A-N,<Plastic & Other>,(512) 588-3283,TECH PLACE 74 ORION ST. STE1,,BRUNSWICK,,,,,0,0,,,,,,,,,,,,,,,
,,22,"RAY LABBE & SONS, INC.",S-022506-WK- A-P,<Plastic & Other>,(207) 725-7336,4 HIGHLAND ROAD BRUNSWICK,,BRUNSWICK,4011,,,,43.8973,-69.9779,,,,,,,,,,,,,,,
,,23,"BURLINGTON, TOWN OF",S-022397-WK- A-P,<Plastic & Other>,(207) 732-3985,PO BOX 70 BURLINGTON,,BURLINGTON,4417,,,,45.2349,-68.379,,,,,,,,,,,,,,,
,,24,GORHAM SAND & GRAVEL INC,S-022172-WK- A-P,<Plastic & Other>,(207) 839-2442,939 PARKER FARM RD BUXTON,,BUXTON,4093,,,,43.6379,-70.5189,,,,,,,,,,,,,,,
,,25,POMPEO SAND & GRAVEL INC,S-022291-WK- A-P,<Plastic & Other>,(207) 929-8002,PO BOX 321 GORHAM,,BUXTON,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,26,PETER D PINKHAM INC,S-022395-WK- A-P,<Plastic & Other>,(207) 929-9636,PO BOX 279 BAR MILLS,,BUXTON,4004,,,,43.6131,-70.5498,,,,,,,,,,,,,,,
,,27,"RISBARA BROS. CONSTRUCTION, INC.",S-022508-WK- A-P,<Plastic & Other>,(207) 883-5528,P.O. BOX 485 SCARBOROUGH,,BUXTON,4092,,,,43.6843,-70.358,,,,,,,,,,,,,,,
,,28,AIM RECYCLING USA LLC (CARIBOU),S-022399-WK- A-N,<Plastic & Other>,(207) 492-1182,P.O. BOX 400 OAKLAND,,CARIBOU,4963,,,,44.5173,-69.7401,,,,,,,,,,,,,,,
,,29,CLARKS CARS & PARTS INC D/B/A CLARKS EAST SIDE SCRA,S-022410-WK- A-N,<Plastic & Other>,(207) 623-1725,PO BOX 424 HALLOWELL,,CHELSEA,4347,,,,44.2864,-69.8057,,,,,,,,,,,,,,,
,,30,"ATLANTIC LANDSCAPE CONSTRUCTION, INC",S-022393-WK- A-P,<Plastic & Other>,(207) 951-3100,814 BANGOR ROAD ELLSWORTH,,CLIFTON,4605,,,,44.5548,-68.4121,,,,,,,,,,,,,,,
,,31,COUNTY CONCRETE & CONST CO,S-021994-WK- C-P,<Plastic & Other>,(207) 483-2300,125 PIT RD COLUMBIA FALLS,,COLUMBIA FALLS,4623,,,,44.6699,-67.7534,,,,,,,,,,,,,,,
,,32,"CUMBERLAND, TOWN OF",S-022532-WK- A-N,<Plastic & Other>,(207) 829-2205,290 TUTTLE ROAD CUMBERLAND,,CUMBERLAND,4021,,,,43.7974,-70.2649,,,,,,,,,,,,,,,
,,33,"SHAW BROTHERS CONSTRUCTION, INC.",S-022135-WK- A-P,<Plastic & Other>,(207) 839-2552,PO BOX 69 GORHAM,,DAYTON,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,34,"STEWART CONSTRUCTION, INC.",S-022217-WK- A-P,<Plastic & Other>,(207) 348-9963,39 LOWE RD DEER ISLE,,DEER ISLE,4627,,,,44.234,-68.6448,,,,,,,,,,,,,,,
,,35,"COPP EXCAVATING, INC.",S-022473-WK- A-P,<Plastic & Other>,(207) 353-7174,190 PINKHAM BROOK ROAD DURHAM,,DURHAM,4222,,,,43.9684,-70.1846,,,,,,,,,,,,,,,
,,36,CLAYTON BOWIE DBA BOWIE'S ORGANICS,S-022517-WK- A-P,<Plastic & Other>,(207) 798-1346,477 RIVER ROAD TOPSHAM,,DURHAM,4086,,,,43.9814,-69.9378,,,,,,,,,,,,,,,
,,37,"KATAHDIN MULCH, INC.",S-022228-WK- A-N,<Plastic & Other>,(207) 827-4837,29 CHAMPION LN MILFORD,,EAST MILLINOCKET,4461,,,,44.9393,-68.6296,,,,,,,,,,,,,,,
,,38,"HUBER ENGINEERED WOODS, LLC",S-022205-WK- B-P,<Plastic & Other>,(207) 488-2051,333 STATION RD EASTON,,EASTON,4740,,,,46.6357,-67.9018,,,,,,,,,,,,,,,
,,39,AGGREGATE RECYCLING CORP,S-021818-WK- C-N,<Plastic & Other>,(207) 439-5584,PO BOX 363 ELIOT,,ELIOT,3903,,,,43.1309,-70.7822,,,,,,,,,,,,,,,
,,40,AGGREGATE RECYCLING CORP,S-021818-WK- B-N,<Plastic & Other>,(207) 439-5584,PO BOX 363 ELIOT,,ELIOT,3903,,,,43.1309,-70.7822,,,,,,,,,,,,,,,
,,41,"YORK WOODS TREE SERVICE, LLC",S-022435-WK- A-P,<Plastic & Other>,(207) 384-5088,300 HAROLD L. DOW HWY ELIOT,,ELIOT,3903,,,,43.1309,-70.7822,,,,,,,,,,,,,,,
,,42,RF JORDAN & SONS,S-022241-WK- D-P,<Plastic & Other>,(207) 667-5236,85 WATER ST ELLSWORTH,,ELLSWORTH,4605,,,,44.5548,-68.4121,,,,,,,,,,,,,,,
,,43,EXETER AGRI-ENERGY,S-022362-WK- A-N,<Plastic & Other>,(207) 379-2963,226 FOGLER RD EXETER,,EXETER,4435,,,,44.9679,-69.1079,,,,,,,,,,,,,,,
,,44,PIKE INDUSTRIES,S-020567-WK- A-P,<Plastic & Other>,(207) 782-2411,145 RIVER ROAD LEWISTON,,FAIRFIELD,4240,,,,44.0985,-70.1916,,,,,,,,,,,,,,,
,,45,BDS WASTE DISPOSAL INC,S-022501-WK- A-N,<Plastic & Other>,(207) 278-3833,PO BOX 319 FAIRFIELD,,FAIRFIELD,4937,,,,44.6463,-69.6802,,,,,,,,,,,,,,,
,,46,CHASE EXCAVATING INC,S-022407-WK- A-P,<Plastic & Other>,(207) 797-9093,56 GRAY RD FALMOUTH,,FALMOUTH,4105,,,,43.734,-70.2625,,,,,,,,,,,,,,,
,,47,AROOSTOOK WASTE SOLUTIONS,S-003707-WK- H-N,<Plastic & Other>,(207) 473-7840,P.O. BOX 605 CARIBOU,,FORT FAIRFIELD,4736,,,,46.8706,-68.0204,,,,,,,,,,,,,,,
,,48,"TNT ROAD COMPANY, INC.",S-022198-WK- B-P,<Plastic & Other>,(207) 834-5073,110 CHARETTE HILL FORT KENT,,FORT KENT,4743,,,,47.2587,-68.5895,,,,,,,,,,,,,,,
,,49,TRACY BROTHERS CONSTRUCTION,S-022520-WK- A-P,<Plastic & Other>,(207) 479-1999,49 OLD COUNTY ROAD HANCOCK,,FRANKLIN,4640,,,,44.5046,-68.2402,,,,,,,,,,,,,,,
,,50,E DOUGLASS EXC,S-022460-WK- A-P,<Plastic & Other>,(207) 743-4398,36 CHICKADEE LANE BRIDGTON,,FRYEBURG,4009,,,,44.052,-70.7241,,,,,,,,,,,,,,,
,,51,MAINE MOSS EXCAVATING,S-022143-WK- A-P,<Plastic & Other>,(207) 371-2853,PO BOX 319 GEORGETOWN,,GEORGETOWN,4548,,,,43.8054,-69.7453,,,,,,,,,,,,,,,
,,52,"SHAW BROTHERS CONSTRUCTION, INC.",S-021420-WK- A-P,<Plastic & Other>,(207) 839-2552,P.O. BOX 69 GORHAM,,GORHAM,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,53,NEW ENGLAND WASTE SVCS OF ME INC D/B/A NEW ENGLA,S-022297-WK- A-N,<Plastic & Other>,(207) 781-5011,110 MAIN STREET SUITE 1308,,GORHAM,,,,,0,0,,,,,,,,,,,,,,,
,,54,SHAW EARTHWORKS INC,S-022357-WK- A-P,<Plastic & Other>,(207) 839-7955,PO BOX 314 GORHAM,,GORHAM,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,55,LKQ GORHAM AUTO PARTS CORP.,S-022462-WK-A-N,<Plastic & Other>,(207) 839-3080,192 NARRAGANSETT STREET GORHAM,,GORHAM,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,56,R.J. GRONDIN & SONS,S-022527-WK- A-P,<Plastic & Other>,(207) 854-1147,11 BARTLETT ROAD GORHAM,,GORHAM,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,57,K-B CORP,S-021233-WK- A-P,<Plastic & Other>,(207) 827-2450,PO BOX 28 GREENBUSH,,GREENBUSH,4418,,,,45.0803,-68.6509,,,,,,,,,,,,,,,
,,58,"FIBERIGHT, LLC & MUNICIPAL REVIEW COMMITTEE, INC.",S-022458-WK- A-N,<Plastic & Other>,,1450 SOUTH ROLLING ROAD BALTIMORE,,HAMPDEN,21227,,,,39.2309,-76.6969,,,,,,,,,,,,,,,
,,59,EUROVIA ATLANTIC COAST LLC DBA NORTHEAST PAVING,S-022511-WK- A-P,<Plastic & Other>,(207) 667-9671,P.O. BOX 1142 HANCOCK,,HANCOCK,4640,,,,44.5046,-68.2402,,,,,,,,,,,,,,,
,,60,DYER EXCAVATION,S-022304-WK- A-P,<Plastic & Other>,(207) 583-4546,PO BOX 436 HARRISON,,HARRISON,4040,,,,44.1071,-70.6539,,,,,,,,,,,,,,,
,,61,"GARY POMEROY LOGGING, INC.",S-022261-WK- A-N,<Plastic & Other>,(207) 848-3171,1909 HAMMOND ST HERMON,,HERMON,4401,,,,44.8242,-68.7918,,,,,,,,,,,,,,,
,,62,J D RAYMOND TRANSPORT,S-022482-WK- B-P,<Plastic & Other>,(207) 564-2186,P.O. BOX 28 DOVER FOXCROFT,,HERMON,4426,,,,45.1877,-69.2045,,,,,,,,,,,,,,,
,,63,EUROVIA ATLANTIC COAST LLC DBA NORTHEAST PAVING,S-022512-WK- A-P,<Plastic & Other>,(207) 945-0873,953 ODLIN ROAD BANGOR,,HERMON,4401,,,,44.8242,-68.7918,,,,,,,,,,,,,,,
,,64,"WOODS EXCAVATING, LLC",S-022525-WK- A-P,<Plastic & Other>,(207) 839-4606,PO BOX 1282 WESTBROOK,,HOLLIS,4098,,,,43.677,-70.3712,,,,,,,,,,,,,,,
,,65,MCQUADE TIDD INDUSTRIES D/B/A STEELSTONE INDUSTRIE,S-022249-WK- A-P,<Plastic & Other>,(207) 532-2675,PO BOX 746 HOULTON,,HOULTON,4730,,,,46.1189,-67.863,,,,,,,,,,,,,,,
,,66,EUROVIA ATLANTIC COAST LLC DBA NORTHEAST PAVING,S-022514-WK-A-P,<Plastic & Other>,(207) 945-0873,953 ODLIN ROAD BANGOR,,HOULTON,4401,,,,44.8242,-68.7918,,,,,,,,,,,,,,,
,,67,DOUG GOTT & SONS INC,S-022165-WK- B-P,<Plastic & Other>,(207) 244-7461,110 BASS HARBOR RD SOUTHWEST HARBOR,,LAMOINE,4679,,,,44.2823,-68.3265,,,,,,,,,,,,,,,
,,68,CHARLES A PLANTE & SONS,S-022345-WK- B-P,<Plastic & Other>,(207) 324-2412,PO BOX 321 SPRINGVALE,,LEBANON,4083,,,,43.4715,-70.8064,,,,,,,,,,,,,,,
,,69,LEVESQUE'S EXCAVATION,S-022429-WK- A-P,<Plastic & Other>,(207) 490-2990,PO BOX 1444 SANFORD,,LEBANON,4073,,,,43.4285,-70.7585,,,,,,,,,,,,,,,
,,70,REENERGY LEWISTON LLC,S-013266-WK- E-R,<Plastic & Other>,(207) 783-2941,38 E PLOURDE PKWY LEWISTON,,LEWISTON,4240,,,,44.0985,-70.1916,,,,,,,,,,,,,,,
,,71,LOUISIANA-PACIFIC CORPORATION,S-022114-WK- C-P,<Plastic & Other>,(207) 532-7361,P.O. BOX 396 HOULTON,,LIMERICK,4730,,,,46.1189,-67.863,,,,,,,,,,,,,,,
,,72,CIA SALVAGE INC,S-022333-WK- A-N,<Plastic & Other>,(207) 793-8193,PO BOX 360 LIMERICK,,LIMERICK,4048,,,,43.6963,-70.7866,,,,,,,,,,,,,,,
,,73,"LEAVITT EARTHWORKS CO., INC",S-022558-WK- A-P,<Plastic & Other>,(207) 642-3675,PO BOX 703 STANDISH,,LIMINGTON,4084,,,,43.8142,-70.4807,,,,,,,,,,,,,,,
,,74,J BROWN ENTERPRISES INC,S-022370-WK- A-P,<Plastic & Other>,(207) 296-3399,602 BOWERBANK RD BOWERBANK,,LINCOLN,4426,,,,45.1877,-69.2045,,,,,,,,,,,,,,,
,,75,J BROWN ENTERPRISES INC,S-022396-WK- A-N,<Plastic & Other>,(207) 944-4664,602 BOWERBANK ROAD BOWERBANK,,LINCOLN,4426,,,,45.1877,-69.2045,,,,,,,,,,,,,,,
,,76,"LOVELL, TOWN OF",S-021076-WK- A-P,<Plastic & Other>,,1069 MAIN ST LOVELL,,LOVELL,4051,,,,44.1614,-70.93,,,,,,,,,,,,,,,
,,77,"ST ONGE, ROBERT L",S-021772-WK- A-P,<Plastic & Other>,(207) 499-7886,98 NOT A ROAD LYMAN,,LYMAN,4002,,,,43.4875,-70.6961,,,,,,,,,,,,,,,
,,78,PERMA TREAT CORP,S-021519-WK- B-N,<Plastic & Other>,(860) 349-1133,74 AIRLINE ROAD DURHAM,,MATTAWAMKEAG,6422,,,,41.465,-72.6875,,,,,,,,,,,,,,,
,,79,HYPONEX,S-021556-WK- A-N,<Plastic & Other>,(203) 642-7591,14111 SCOTTSLAWN RD MARYSVILLE,,MEDWAY,43041,,,,40.2364,-83.3671,,,,,,,,,,,,,,,
,,80,EUROVIA ATLANTIC COAST LLC DBA NORTHEAST PAVING,S-022513-WK- A-P,<Plastic & Other>,(207) 945-0873,953 ODLIN ROAD BANGOR,,MEDWAY,4401,,,,44.8242,-68.7918,,,,,,,,,,,,,,,
,,81,ND PAPER INC FORMERLY CATALYST PAPER OPERATIONS I,S-021787-WK- A-N,<Plastic & Other>,(207) 364-4521,35 HARTFORD ST RUMFORD,,MEXICO,4276,,,,44.5434,-70.5645,,,,,,,,,,,,,,,
,,82,NORTHLAND SERVICES INC,S-021840-WK- A-N,<Plastic & Other>,(207) 827-4837,29 CHAMPION LN MILFORD,,MILFORD,4461,,,,44.9393,-68.6296,,,,,,,,,,,,,,,
,,83,THORNTON CONSTRUCTION INC,S-022342-WK- A-P,<Plastic & Other>,(207) 827-0352,PO BOX 529 MILFORD,,MILFORD,4461,,,,44.9393,-68.6296,,,,,,,,,,,,,,,
,,84,MILLINOCKET MULCH LLC AND WEST MILLINOCKET MULCH,S-022531-WK- A-N,<Plastic & Other>,(207) 827-4837,29 CHAMPION ROAD MILFORD,,MILLINOCKET,4461,,,,44.9393,-68.6296,,,,,,,,,,,,,,,
,,85,SONGO LOCKS SAND & GRAVEL,S-022317-WK- A-N,<Plastic & Other>,(207) 693-4756,PO BOX 829 SOUTH CASCO,,NAPLES,4077,,,,43.91,-70.5245,,,,,,,,,,,,,,,
,,86,Q-TEAM INC,S-022374-WK- A-N,<Plastic & Other>,(207) 693-3831,PO BOX 4096 NAPLES,,NAPLES,4055,,,,43.9681,-70.5988,,,,,,,,,,,,,,,
,,87,DAVID W MACDONALD INC,S-022350-WK- A-P,<Plastic & Other>,(207) 657-3256,58 MACDONALD DRIVE NEW GLOUCESTER,,NEW GLOUCESTER,4260,,,,43.9608,-70.2974,,,,,,,,,,,,,,,
,,88,WASTE MGT DISP SERV OF ME INC,S-010735-WK-UQ-N,<Plastic & Other>,(207) 634-2714,P.O. BOX 4745 LCLARK12@WM.COM,,NORRIDGEWOCK,,,,,0,0,,,,,,,,,,,,,,,
,,89,MERLE L LLOYD & SONS,S-021602-WK- A-P,<Plastic & Other>,(207) 696-3084,PO BOX 421 ANSON,,NORRIDGEWOCK,4911,,,,44.7831,-69.9309,,,,,,,,,,,,,,,
,,90,PUTNAM LUMBER,S-022124-WK- A-P,<Plastic & Other>,(207) 651-1213,P.O. BOX 559 VIEQUES,,NORTH BERWICK,765,,,,0,0,,,,,,,,,,,,,,,
,,91,"NORTH YARMOUTH, TOWN OF",S-022534-WK- A-P,<Plastic & Other>,(207) 829-3705,10 VILLAGE SQUARE RD NORTH YARMOUTH,,NORTH YARMOUTH,4097,,,,43.838,-70.2001,,,,,,,,,,,,,,,
,,92,AIM RECYCLING USA LLC (OAKLAND),S-022258-WK- A-N,<Plastic & Other>,(207) 465-2212,P.O. BOX 400 OAKLAND,,OAKLAND,4963,,,,44.5173,-69.7401,,,,,,,,,,,,,,,
,,93,"CROSS SAND AND GRAVEL, LLC",S-022551-WK- A-P,<Plastic & Other>,(207) 890-1954,PO BOX 158 BETHEL,,OXFORD,4217,,,,44.4162,-70.8037,,,,,,,,,,,,,,,
,,94,"NEPW LOGISTICS, INC",S-022484-WK- A-N,<Plastic & Other>,(207) 333-3345,70 QUARRY RD PORTLAND,,PARIS,4103,,,,43.6876,-70.2876,,,,,,,,,,,,,,,
,,95,"DOUGLAS W. JONES, INC",S-022544-WK- A-P,<Plastic & Other>,(207) 824-2258,PO BOX 158 BETHEL,,PARIS,4217,,,,44.4162,-70.8037,,,,,,,,,,,,,,,
,,96,"JOLLY GARDENER PRODUCTS, INC.",S-020513-WK- A-N,<Plastic & Other>,(207) 783-7397,PO BOX 527 POLAND,,POLAND,4274,,,,44.0474,-70.3899,,,,,,,,,,,,,,,
,,97,"MB BARK, LLC",S-021741-WK- A-N,<Plastic & Other>,(207) 786-0600,100 BARK MULCH DRIVE AUBURN,,POLAND,4210,,,,44.0948,-70.239,,,,,,,,,,,,,,,
,,98,PROLERIZED NEW ENGLAND CO LLC,S-022289-WK- A-N,<Plastic & Other>,(617) 389-8300,25 SANDQUIST STREET CONCORD,,PORTLAND,3301,,,,43.2185,-71.5277,,,,,,,,,,,,,,,
,,99,"GROUND PERFECTION SPECIALISTS, INC.",S-022358-WK- B-P,<Plastic & Other>,(207) 227-4726,P.O. BOX 402 PRESQUE ISLE,,PRESQUE ISLE,4769,,,,46.6842,-68.0118,,,,,,,,,,,,,,,
,,100,GROUND PERFECTION SPECIALISTS INC,S-022358-WK- A-P,<Plastic & Other>,(207) 227-4726,PO BOX 402 PRESQUE ISLE,,PRESQUE ISLE,4769,,,,46.6842,-68.0118,,,,,,,,,,,,,,,
,,101,EUROVIA ATLANTIC COAST LLC DBA NORTHEAST PAVING,S-022515-WK- A-P,<Plastic & Other>,(207) 764-4137,P.O. BOX 627 PRESQUE ISLE,,PRESQUE ISLE,4769,,,,46.6842,-68.0118,,,,,,,,,,,,,,,
,,102,VAUGHN D THIBODEAU II INC,S-022387-WK- A-P,<Plastic & Other>,(207) 974-2011,924 ODLIN RD BANGOR,,PROSPECT,4401,,,,44.8242,-68.7918,,,,,,,,,,,,,,,
,,103,"GLEN DUBE EXCAVATION, INC.",S-022479-WK- A-P,<Plastic & Other>,(207) 375-9588,P.O. BOX 819 SABATTUS,,SABATTUS,4280,,,,44.1133,-70.0748,,,,,,,,,,,,,,,
,,104,"SIMPSON INC, JEFFREY A",S-022075-WK- B-N,<Plastic & Other>,(207) 324-5412,281 JAGGER MILL RD SANFORD,,SANFORD,4073,,,,43.4285,-70.7585,,,,,,,,,,,,,,,
,,105,"SIMPSON INC, JEFFREY A",S-022075-WK- A-P,<Plastic & Other>,(207) 324-5412,281 JAGGER MILL RD SANFORD,,SANFORD,4073,,,,43.4285,-70.7585,,,,,,,,,,,,,,,
,,106,GOLDMARK LLC,S-022320-WK- A-P,<Plastic & Other>,(207) 251-3501,92 ALLY LN WELLS,,SANFORD,4090,,,,43.3144,-70.5969,,,,,,,,,,,,,,,
,,107,GORHAM SAND & GRAVEL INC,S-022377-WK- A-P,<Plastic & Other>,(207) 839-2442,939 PARKER FARM RD BUXTON,,SANFORD,4093,,,,43.6379,-70.5189,,,,,,,,,,,,,,,
,,108,CPRC GROUP LLC FORMERLY COMMERCIAL RECYCLING SY,S-021243-WK- A-N,<Plastic & Other>,(207) 883-3325,100 BARK MULCH DRIVE AUBURN,,SCARBOROUGH,4210,,,,44.0948,-70.239,,,,,,,,,,,,,,,
,,109,"SCARBOROUGH, TOWN OF -PUBLIC WORKS DEPT.",S-022457-WK- A-P,<Plastic & Other>,(207) 730-4400,20 WASHINGTON AVE SCARBOROUGH,,SCARBOROUGH,4074,,,,43.5835,-70.3457,,,,,,,,,,,,,,,
,,110,RICHARD CARRIER TRUCKING INC,S-021984-WK- B-P,<Plastic & Other>,(207) 474-6293,PO BOX 718 SKOWHEGAN,,SKOWHEGAN,4976,,,,44.7772,-69.6976,,,,,,,,,,,,,,,
,,111,RICHARD CARRIER TRUCKING INC,S-022309-WK- A-N,<Plastic & Other>,(207) 474-6293,PO BOX 718 SKOWHEGAN,,SKOWHEGAN,4976,,,,44.7772,-69.6976,,,,,,,,,,,,,,,
,,112,DOUCETTE FORESTRY PRODUCTS,S-022523-WK- A-P,<Plastic & Other>,(207) 752-1151,PO BOX 141 BERWICK,,SOUTH BERWICK,3901,,,,43.2899,-70.855,,,,,,,,,,,,,,,
,,113,DIRT DIRECT,S-022537-WK- A-P,<Plastic & Other>,(207) 808-3478,8 TAYLOR WAY GORHAM,,SOUTH PORTLAND,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,114,"S.B. FREEPORT, INC.",S-022490-WK- A-P,<Plastic & Other>,(207) 839-2552,P.O. BOX 69 GORHAM,,STANDISH,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,115,SHAW EARTHWORKS INC.,S-022541-WK- A-P,<Plastic & Other>,(207) 839-7955,PO BOX 314 GORHAM,,STANDISH,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,116,"ASMAT, LLC.",S-022102-WK- B-P,<Plastic & Other>,(207) 375-5049,PO BOX 1330 BLUE HILL,,SURRY,4614,,,,44.4343,-68.5885,,,,,,,,,,,,,,,
,,117,"DUGAS, DAWN",S-022507-WK- B-P,<Plastic & Other>,(207) 667-5735,P O BOX 298 SURRY,,SURRY,4684,,,,44.4883,-68.5063,,,,,,,,,,,,,,,
